edition,year,venue,status,open_champions,women_champions,notes
1,1904,Hastings,held,William Ewart Napier,Kate Belinda Finn,"Play-off vs Atkins, Jan 1905"
2,1905,Southport,held,Henry Ernest Atkins,Kate Belinda Finn,
3,1906,Shrewsbury,held,Henry Ernest Atkins,Frances Dunn Herring,
4,1907,Crystal Palace,held,Henry Ernest Atkins,Frances Dunn Herring,
5,1908,Tunbridge Wells,held,Henry Ernest Atkins,Grace Moore Curling,
6,1909,Scarborough,held,Henry Ernest Atkins,Gertrude Alison Anderson,
7,1910,Oxford,held,Henry Ernest Atkins,Mary Mills Houlding,
8,1911,Glasgow,held,Henry Ernest Atkins,Mary Mills Houlding,
9,1912,Richmond,held,Richard Clewin Griffith,Gertrude Alison Anderson,
10,1913,Cheltenham,held,Fred Dewhirst Yates,Amabel Nevill Gwyn Moseley,
11,1914,Chester,held,Fred Dewhirst Yates,Mary Mills Houlding,
,1915,,cancelled,,,World War I
,1916,,cancelled,,,World War I
,1917,,cancelled,,,World War I
,1918,,cancelled,,,World War I
12,1919,Hastings,no_open_title,,Edith Martha Holloway,Capablanca 1st in international; no British open title
13,1920,Edinburgh,held,Roland Henry Vaughan Scott,Agnes Bradley Stevenson,
14,1921,Malvern,held,Fred Dewhirst Yates,Gertrude Alison Anderson,
15,1922,London,no_open_title,,Edith Charlotte Price,Capablanca 1st; no British open title
16,1923,Southsea,held,George Alan Thomas,Edith Charlotte Price,
17,1924,Southport,held,Henry Ernest Atkins,Edith Charlotte Price,
18,1925,Stratford upon Avon,held,Henry Ernest Atkins,Agnes Bradley Stevenson,
19,1926,Edinburgh,held,Fred Dewhirst Yates,Agnes Bradley Stevenson,
20,1927,London,no_open_title,,,No British Championship contested
21,1928,Tenby,held,Fred Dewhirst Yates,Edith Charlotte Price,
22,1929,Ramsgate,held,Sultan Khan,Mary Dinorah Gilchrist,
23,1930,Scarborough,no_open_title,,Agnes Bradley Stevenson,No open title
24,1931,Worcester,held,Fred Dewhirst Yates,Edith Mary Ann Michell | Amy Eleanor Wheelwright,Shared women's title
25,1932,London,held,Sultan Khan,Edith Mary Ann Michell,
26,1933,Hastings,held,Sultan Khan,Ghulam Fatima,
27,1934,Chester,held,George Alan Thomas,Mary Dinorah Gilchrist,
28,1935,Great Yarmouth,held,William Winter,Edith Mary Ann Michell,
29,1936,Bournemouth,held,William Winter,Edith Martha Holloway,Women's event at Nottingham
30,1937,Blackpool,held,William Albert Fairhurst,Rowena Mary Dew,
31,1938,Brighton,held,Hugh O'Donel Alexander,Minnie Musgrave,
